cusip,sim,comp_st_years,comp_en_years,comp_conm,factiva_comp,factiva_tag,manual_tag
02744X10,0.945454545,1990,2008,AMERICAN MEDICAL TECHNOL INC,American Medical Technology Inc,ammdtc,ammdtc
2868910,0.85106383,1982,1991,AMERICAN NURSERY PRODS INC,AMERICAN NURSERY PRODUCTS,amnp,amnp
2916110,0.909090909,1990,1997,AMERICAN RADIO SYS CORP,American Radio Systems Corp,amrasy,amrasy
02916P10,0.526315789,2000,2017,AMERICAN RAILCAR INDS INC,HCA Holdings Inc.,colhsp,
02926R10,0.909090909,1990,1993,AMERICAN RESIDENTIAL HLDG CP,AMERICAN RESIDENTIAL HOLDING CORP,amrsmc,amrsmc
02941H30,0.772727273,1979,1994,AMERICAN SVGS/FL FSB,American Savings of Florida FSB,aslfla,aslfla
3040610,0.80952381,1988,1997,AMERICAN WASTE SVCS,AMERICAN WASTE SERVICES INC,amwast,amwast
03070M10,0.875,1972,1997,AMERIWOOD INDS INTL CORP,AMERIWOOD INDUSTRIES INTL CORP,rpch,rpch
03209R10,0.981818182,2009,2018,AMPHASTAR PHARMACEUTICLS INC,"Amphastar Pharmaceuticals, Inc.",ampphi,ampphi
03753Q10,0.846153846,2006,2008,APEX BIOVENTURES ACQ CORP,Apex Bioventures Acquisition Corp,apbacq,apbacq
3978010,0.941176471,1989,1996,ARDEN INDUSTRIAL PRODS INC,Arden Industrial Products Inc,ardeni,ardeni
04362T10,0.851851852,1992,1998,ASCHE TRANSPORTATION SVCS,Asche Transportation Services Inc,aasct,aasct
04543P10,0.93877551,1998,2012,ASSET ACCEPTANCE CAPITL CP,Asset Acceptance Capital Corp,aacco,aacco
4748310,0.785714286,1966,1992,ATHLONE INDS,ATHLONE INDUSTRIES,ath,ath
4842610,0.842105263,2002,2017,ATLANTIC COAST FINANCIAL CP,Atlantic Coast Financial Corporation,atcsfd,atcsfd
4916420,0.925925926,1994,2018,ATLAS AIR WORLDWIDE HLDG INC,Atlas Air Worldwide Holdings Inc,acargo,acargo
5083910,0.684210526,1968,1997,AUDITS & SURVEYS WORLDWIDE,AUDITS AND SURVEYS,trgle,trgle
5.33E+13,0.769230769,1987,1994,AUTOMOTIVE INDS HLDGS,Automotive Industries,autnd,autnd
05351X10,0.903225806,2013,2018,AVAYA HLDGS CORP,Avaya Holdings Corp,avayhc,avayhc
5523910,0.9,1991,1998,BA MERCHANT SVCS INC,BA Merchant Services Inc,bamese,bamese
05550J10,0.75,2013,2018,BJS WHSL CLUB HLDGS INC,BJ's Wholesale Club Inc,bjswhc,bjswhc
5604410,0.5,1987,1996,BW/IP INC,BWIP Holdings,bwiph,bwiph
05873K10,0.901960784,1985,2006,BALLY TOTAL FITNESS HLDG CP,Bally Total Fitness Holding Corp,balht,balht
05978R10,0.961538462,1986,2011,BANCTRUST FINANCIAL GRP INC,Banctrust Financial Group Inc,mobnc,mobnc
9032410,0.782608696,1982,1999,BINDLEY WESTERN INDS,Bindley Western Industries Inc,bwii,bwii
9093110,0.962962963,1990,2018,BIOSPECIFICS TECHNOLOGIES CP,BioSpecifics Technologies Corp.,biost,biost
9128320,0.827586207,1995,2017,BIRNER DENTAL MGMT SVCS INC,Birner Dental Management Services Inc,brnrdn,brnrdn
9.24E+13,0.888888889,2008,2017,BLACKHAWK NETWORK HLDGS INC,Blackhawk Network Inc,blacni,blacni
9950210,0.901960784,2005,2018,BOOZ ALLEN HAMILTON HLDG CP,Booz Allen Hamilton Holding Corp.,bzalnh,bzalnh
10111910,0.847457627,1993,2018,BOSTON PRIVATE FINL HOLDINGS,Boston Private Financial Holdings Inc,bnpb,bnpb
10457610,0.869565217,1990,2006,BRADLEY PHARMACEUTICL,Bradley Pharmaceuticals Inc,bradp,bradp
10947N10,0.769230769,1996,2005,BRIGHTSTAR INFO TECH GRP INC,"BrightStar Information Technology Group, Inc",bstrnf,bstrnf
10969910,0.867924528,2003,2009,BRINKS HOME SECURITY HLDGS,"Brink's Home Security Holdings, Inc.",bcowny,bcowny
11588510,0.782608696,1969,1998,BROWNING-FERRIS INDS,Browning-Ferris Industries Inc.,bwfei,bwfei
12326C10,0.941176471,2016,2018,BUSINESS FIRST BANCSHS INC,Business First Bancshares Inc,bfirbi,bfirbi
12423410,0.893617021,1988,1997,BUTTREY FOOD & DRUG STORES,Buttrey Food And Drug Stores Co,butfod,butfod
12487Q10,0.892857143,1995,2004,CCC INFORMATION SVCS GRP INC,CCC Information Services Group Inc,cerco,cerco
12489L10,0.818181818,1991,2000,CB RICHARD ELLIS SVCS,CB Richard Ellis Services Inc,cbresi,cbresi
12692410,0.518518519,1993,2003,CABLE DESIGN TECH CP,Belden Inc,cbldst,
13033410,0.943396226,1993,2002,CALIFORNIA INDEPENDENT BNCP,California Independent Bancorp,clfrnn,clfrnn
13916810,0.85106383,1989,1995,CAPCO AUTOMOTIVE PRODS,CAPCO AUTOMOTIVE PRODUCTS CORP,clkau,clkau
13985910,0.518518519,1955,1994,CAPITAL CITIES/ABC INC,ABC Inc,cccom,
14055J10,0.901960784,1990,1995,CAPITOL AMERICAN FINL CORP,CAPITOL AMERICAN FINANCIAL CORP,capafc,capafc
14057J10,0.897959184,1997,2018,CAPITOL FEDERAL FINL INC,Capitol Federal Financial Inc.,capfed,capfed
14170410,0.857142857,1991,1995,CAREMARK INTL INC,CAREMARK INC,hhca,hhca
15091710,0.711111111,1985,1995,CELLULAR COMMUN INC,MCCAW CELLULAR COMMUNICATIONS,mcccc,
15133V20,0.782608696,1990,2008,CENTENNIAL COMMUN CP,Centennial Communications Corp,centcl,centcl
15201210,0.375,1994,2002,CENTERSPAN COMMUN CORP,Primedia Inc,kiii,
15235710,0.588235294,1951,1999,CENTRAL & SOUTH WEST CORP,Southern Company Inc,sothco,
15377610,0.893617021,1984,1995,CENTRAL JERSEY FINL CORP,Central Jersey Financial Corp,cjsla,cjsla
15476040,0.961538462,1984,2018,CENTRAL PACIFIC FINANCIAL CP,Central Pacific Financial Corp,cpbinc,cpbinc
15878710,0.8,1996,2007,CHAMPPS ENTMT INC,Champps Entertainment Inc,chmpse,chmpse
15950810,0.730769231,1996,1999,CHAPMAN CAP MGMT HLDGS INC,CHAPMAN CAPITAL MANAGEMENT HLDGS,chapmg,chapmg
16842Q10,0.754098361,2016,2018,CHICKEN SOUP FOR SOUL ENTNT,Chicken Soup for the Soul Entertainment Inc,fufnko,fufnko
17118810,0.829268293,1990,1998,CHRYSALIS INTL CORP,Chrysalis International Corporation,denxin,denxin
17247010,0.857142857,1991,1996,CINERGI PICTURES ENTMT INC,Cinergi Pictures Entertainment Inc,cinerg,cinerg
17257410,0.944444444,1977,1999,CIRCLE INTERNATIONAL GRP INC,CIRCLE INTERNATIONAL GROUP INC,hrpgrp,hrpgrp
17289410,0.92,1990,1999,CITATION COMPUTER SYS INC,CITATION COMPUTER SYSTEMS INC,ciacmp,ciacmp
17462310,0.96,1998,2004,CITIZENS FIRST FINANCIAL CP,Citizens First Financial Corp,citfir,citfir
18024310,0.962962963,1991,1997,CLAREMONT TECHNOLOGY GRP INC,Claremont Technology Group Inc,clrmth,clrmth
19063310,0.84,1988,1994,COASTWIDE ENERGY SVCS INC,Coastware Energy Services Inc,cstwd,cstwd
19566B10,0.925925926,2003,2014,COLONIAL FINANCIAL SVCS INC,Colonial Financial Services Inc.,cban,cban
20450K10,0.904761905,1996,1998,COMPASS INTL SERVICES CORP,COMPASS INTERNATIONAL SVCS CORP,cmpssi,cmpssi
20521310,0.888888889,1993,1998,COMPUTER MGMT SCIENCES INC,COMPUTER MANAGEMENT SCIENCES INC,commsi,commsi
20602210,0.980392157,2011,2018,CONCERT PHARMACEUTICLS INC,"Concert Pharmaceuticals, Inc.",cncrph,cncrph
20741M10,0.888888889,1994,2011,CONMED HEALTHCARE MGMT INC,Conmed Healthcare Management Inc,phmns,phmns
20903410,0.793650794,2000,2018,CONSOLIDATED COMM HLDGS INC,Consolidated Communications Holdings Inc,ccihi,ccihi
21037110,0.962962963,1951,2011,CONSTELLATION ENERGY GRP INC,Constellation Energy Group Inc,balgs,balgs
21117110,0.872727273,2011,2018,CONTINENTAL BUILDING PRODS,Continental Building Products Inc.,lsegil,lsegil
21148C10,0.961538462,1985,1996,CONTINENTAL HOMES HOLDING CP,Continental Homes Holding Corp,conhhc,conhhc
21833P10,0.881355932,2012,2018,CORBUS PHARMACEUTICALS HLDGS,Corbus Pharmaceuticals Holdings Inc.,jbthri,jbthri
22004Y10,0.925925926,2011,2013,CORPORATE RESOURCE SVCS INC,Corporate Resource Services Inc.,therml,therml
22029110,0.914285714,1962,1989,CORROON & BLACK CORP,CORROON AND BLACK CORP (NY),corblk,corblk
22490510,0.884615385,1991,2000,CREDIT MGMT SOLUTIONS INC,CREDIT MANAGEMENT SOLUTIONS INC,crdman,crdman
22674M10,0.930232558,1985,1991,CRITICAL CARE AMER INC,Critical Care America Inc.,neccc,neccc
23131L10,0.923076923,2015,2018,CURO GROUP HLDGS CORP,Curo Group Holdings Corp,fjmytp,fjmytp
23252210,0.837209302,1990,1999,CYBEX COMPUTER PRODS,Cybex Computer Products Corp,cibecs,cibecs
23833710,0.833333333,1994,2018,DAVE & BUSTER'S ENTMT INC,"Dave & Buster's Entertainment, Inc.",dvnbst,dvnbst
23913310,0.697674419,1971,1995,DAVIS WATER & WASTE,DAVIS WATER AND WASTE INDUSTRIES,dwws,dwws
24240V10,0.448979592,1988,1996,DEAN WITTER DISCOVER & CO,"United Continental Holdings, Inc.",ual,
25244640,0.923076923,1992,1998,DIAGNOSTIC HEALTH SVCS INC,Diagnostic Health Services Inc,diahs,diahs
25271410,0.923076923,1990,1998,DIAMOND MULTIMEDIA SYS INC,Diamond Multimedia Systems Inc,dicoms,dicoms
25475V10,0.923076923,1997,2007,DISTRIBUTED ENERGY SYS CORP,Distributed Energy Systems Corp,ptengu,ptengu
25492710,0.888888889,1997,1999,DISPATCH MANAGEMENT SVCS CP,Dispatch Management Services Corp,dsptch,dsptch
25510410,0.388888889,1993,2018,DIVERSICARE HEALTHCARE SVCS,Advocat Inc,advinc,
26432F10,0.897959184,1990,1999,DUFF & PHELPS CREDIT RTNG CO,DUFF AND PHELPS CREDIT RATING CO,duphcr,duphcr
26825510,0.9,1974,2003,ECC INTERNATIONAL CP,ECC International Corp,educ,educ
27557210,0.909090909,1993,2002,EAST TEXAS FINL SERVICES INC,East Texas Financial Services Inc,etfncl,etfncl
27653410,0.943396226,2001,2012,EASTERN INSURANCE HLDGS INC,"Eastern Insurance Holdings, Inc.",easihi,easihi
28176010,0.52173913,1971,2006,EDWARDS (A G) INC,Apache Corp,apche,
28604510,0.892857143,1996,2004,ELECTRONICS BOUTIQUE HLDG CP,Electronics Boutique Holdings Corp,elcbou,elcbou
29152540,0.954545455,1985,2018,EMMIS COMMUNICATIONS CP,Emmis Communications Corp,embcst,embcst
29269P10,0.852459016,2005,2007,ENERGY INFRASTRUCTURE ACQSTN,Energy Infrastructure Acquisition Corp.,eiacqi,eiacqi
29272B10,0.561403509,2010,2018,ENDURANCE INTL GRP HLDGS INC,Cogent Communications Holdings Inc,cogent,
29331010,0.884615385,1990,1999,ENHANCE FINANCIAL SVCS GRP,ENHANCE FINANCIAL SERVICES GROUP,efs,efs
29371210,0.872727273,1998,2018,ENTERPRISE FINL SERVICES CP,Enterprise Financial Services Corp,entbk,entbk
29393110,0.692307692,1982,1991,ENTERTAINMENT PUBLISHING CP,Entertainment Promotions Inc.,epub,
29409W10,0.95,1988,1997,ENVIROTEST SYSTEMS CP,Envirotest Systems Corp,envsc,envsc
29440810,0.96,1991,1999,EQUALNET COMMUNICATIONS CP,Equalnet Communications Corp,eqlnet,eqlnet
29459910,0.909090909,1988,1998,EQUITRAC CP,Equitrac Corp,eqtrac,eqtrac
30254310,0.857142857,1993,1997,FPA MEDICAL MGMT INC,FPA Medical Management Inc,fpamed,fpamed
31421V10,0.833333333,2017,2017,FEDERAL STREET ACQ CORP,Federal Street Acquisition Corp,aovwda,aovwda
31592410,0.193548387,1987,1995,FIDELITY FINL BANKSHARES CP,BB&T Corp,snatco,
31620R30,0.679245283,2000,2018,FIDELITY NATL FINL FNF GROUP,Fidelity National Financial Inc,fntgi,fntgi
31679P10,0.888888889,2012,2016,FIFTH STREET ASSET MGMT INC,Fifth Street Asset Management Inc,kublqk,kublqk
31738910,0.780487805,1987,1994,FINL BENEFIT GROUP,FINANCIAL BENEFIT GROUP INC,fbgi,fbgi
31782310,0.928571429,1995,1998,FINE.COM INTERNATIONAL CP,fine.com International Corp,fncmcr,fncmcr
31814910,0.961538462,1995,2001,FIREBRAND FINANCIAL GRP INC,Firebrand Financial Group Inc,gknhol,gknhol
31847R10,0.842105263,2005,2018,FIRST AMERICAN FINANCIAL CP,First American Financial Corporation,fsamfc,fsamfc
31928N10,0.923076923,1978,2001,FIRST BANKS AMER INC,First Banks America Inc,bncte,bncte
31939010,0.827586207,2004,2018,FIRST BUSINESS FINL SRV INC,First Business Financial Services Inc,fbfsi,fbfsi
31958910,0.96,1986,1996,FIRST CITIZENS FINANCIAL CP,First Citizens Financial Corp,fircit,fircit
31972110,0.961538462,1984,1993,FIRST COLONIAL BANKSHARES CP,FIRST COLONIAL BANKSHARES CORP,fcol,fcol
3.20E+24,0.689655172,2001,2010,FIRST CMNTY BK CORP AMER,First Community Bank Corporation of America,fbbcaa,fbbcaa
31985Q10,0.676923077,2012,2016,FIRST CMNTY FINL PARTNERS,First Community Financial Partners Incorporated,fcbj,fcbj
32020R10,0.901960784,1993,2018,FIRST FINL BANKSHARES INC,First Financial Bankshares Inc,ffbksh,ffbksh
32022610,0.666666667,1992,1996,FIRST FINL CORP WESTERN MD,First Financial Corp of W Maryland,ffwm,ffwm
32024510,0.88,1982,1994,FIRST FINANCIAL MGMT CORP,First Financial Management Corp,ffmc,ffmc
32053S10,0.842105263,1995,2007,1ST INDEPENDENCE FINL GROUP,1st Independence Financial Group Inc.,hrrdsb,hrrdsb
32054810,0.926829268,1958,1995,FIRST INTERSTATE BNCP,First Interstate Bancorp,wstbnc,wstbnc
33604910,0.956521739,1993,1996,FIRST PATRIOT BANKSHARES CP,FIRST PATRIOT BANKSHARES,firpat,firpat
3.36E+14,0.897959184,1993,1997,FIRST SOUTHEAST FINL CORP,First Southeast Financial Corp,firsfn,firsfn
33690610,0.851851852,1987,1996,FIRST STATE FINANCIAL SVCS,First State Financial Services Inc,fdewit,fdewit
33750510,0.85,1984,1998,FIRST WESTN BANCORP INC,FIRST WESTERN BANCORP (PA),fwbstu,fwbstu
34958B10,0.96,2001,2016,FORTRESS INVESTMENT GRP LLC,Fortress Investment Group LLC,forin,forin
34960P10,0.657894737,2011,2018,FORTRESS TRANS INFRASTR INVS,Fortress Transportation and Infrastructure Investors LLC,ftiizz,ftiizz
34968110,0.961538462,1987,2001,FORTUNE NATURAL RESOURCES CP,Fortune Natural Resources Corp,fopetr,fopetr
35138V10,0.95,2008,2018,FOX FACTORY HOLDING CP,Fox Factory Holding Corp.,fxfi,fxfi
35181D10,0.905660377,1994,1998,FRANCHISE MTG ACCEPTANCE CO,FRANCHISE MORTGAGE ACCEPTANCE CO,frmoac,frmoac
35352P10,0.901960784,2013,2018,FRANKLIN FINL NETWORK INC,"Franklin Financial Network, Inc.",frafni,frafni
36111560,0.622222222,1987,2001,FURRS RESTAURANT GRP,American Restaurant Group Inc,arestg,
36465610,0.810810811,1991,1995,GAMING WORLD INTL LTD,Gaming World International Inc,gamwof,gamwof
36814010,0.943396226,2000,2007,GATEWAY FINANCIAL HLDGS INC,Gateway Financial Holdings Inc,gatban,gatban
36814510,0.4,1988,2001,GAYLORD CONTAINER CP,Inland Paperboard and Packaging Inc,gyldc,
36928210,0.961538462,1982,1991,GENERAL BUILDING PRODUCTS CP,General Building Products Corp,genbpr,genbpr
37946S10,0.925925926,2005,2013,GLOBAL GEOPHYSICAL SVCS INC,"Global Geophysical Services, Inc.",ggeops,ggeops
38503410,0.806451613,2006,2007,GRANAHAN MCCOURT ACQSTN CORP,Granahan McCourt Acquisition Corporation,gmccac,gmccac
38989320,0.818181818,1975,1995,GREAT AMERICAN MGMT & INVT,Great American Management,gami,gami
39305910,0.619047619,1987,1997,GREEN (A.P.) INDUSTRIES INC,Great Plains Energy Inc,kanpwr,
39479710,0.892857143,1984,1993,GREENERY REHABILITATION GRP,Greenery Rehabilitation Group Inc.,grehab,grehab
39818910,0.818181818,1960,1995,GRIFFIN GAMING&ENTMT,GRIFFIN GAMING & ENTERTAINMENT,rstint,rstint
40501910,0.958333333,1985,1992,HADSON ENERGY RESOURCES CP,HADSON ENERGY RESOURCES CORP,hadsen,hadsen
41052210,0.608695652,1960,1999,HANNA (M A) CO,Kennametal Inc,kmetal,
42219T10,0.8,1986,1995,HEALTHCARE AMER INC,Healthamerica Inc,hevest,
42219W10,0.830188679,1993,1998,HEALTHCARE FINL PARTNERS INC,HEALTHCARE FINANCIAL PARTNERS,hlthfn,hlthfn
42323610,0.761904762,1950,1994,HELENE CURTIS INDS,Helene Curtis Industries Inc,hctis,hctis
43307810,0.863636364,1981,1991,HINDERLITER INDS INC,Hinderliter Industries Inc,hnd,hnd
43726410,0.92,1984,1993,HOME NUTRITIONAL SVCS INC,HOME NUTRITIONAL SERVICES INC,honut,honut
44054310,0.923076923,1999,2018,HORNBECK OFFSHORE SVCS INC,Hornbeck Offshore Services Inc,hrnlee,hrnlee
44248740,0.909090909,1982,2018,HOVNANIAN ENTRPRS INC,Hovnanian Enterprises Inc,hovn,hovn
44864010,0.357142857,2011,2013,HYDE PARK ACQUISITION CP II,US Securities and Exchange Commission,seexc,
44977F10,0.923076923,1963,1991,INB FINANCIAL CP,INB Financial,indco,indco
45384B10,0.909090909,2011,2018,INDEPENDENT BK GRP INC,Independent Bank Group Inc.,indbco,indbco
45385410,0.912280702,1999,2000,INDEPENDENT FINL NETWORK INC,Independent Financial Network Inc,scbk,scbk
45579210,0.979591837,1992,2001,INDUSRI-MATEMATIK INTL CORP,Industri Matematik International Corp,imatic,imatic
45592110,0.943396226,1995,2002,INDUSTRIAL RUBBER PRODS INC,"Industrial Rubber Products, Inc",ndstrb,ndstrb
45615610,0.95,1985,1994,INDUSTRIAL FUNDING CP,INDUSTRIAL FUNDING CORP,indfun,indfun
45631410,0.912280702,1995,2018,INDUSTRIAL SERVICES AMER INC,Industrial Services of America Inc,indsvc,indsvc
45690830,0.678571429,1987,1998,INFORMATION MGMT TECH,Information Management Technologies Corp,imtka,imtka
45780R10,0.925925926,2011,2018,INSTALLED BLDG PRODUCTS INC,Installed Building Products Inc.,insbpi,insbpi
45795620,0.869565217,1988,1997,INSIGNIA FINANCIAL GRP,"Insignia Financial Group, Inc",insesg,insesg
45804510,0.806451613,1997,2002,INSURANCE MGMT SOLUTIONS GRP,Insurance Management Solutions Group Inc,inmaso,inmaso
45812C10,0.923076923,1990,1999,INTEGRATED HEALTH SVCS INC,Integrated Health Services Inc,inthes,inthes
45812Q10,0.833333333,1989,1994,INTEGRATED SILICON SYS INC,INTEGRATED SILICON SYSTEMS,itgslc,itgslc
45816H10,0.962962963,1993,1998,INTELLIQUEST INFORMATION GRP,INTELLIQUEST INFORMATION GROUP,intque,intque
45841V10,0.896551724,1996,2015,INTERACTIVE INTELLIGENCE GRP,Interactive Intelligence Group Inc,ininer,ininer
45890M10,0.857142857,1998,2006,INTEGRATED ALARM SVCS GROUP,Integrated Alarm Services Group Inc,iasg,iasg
45937320,0.682926829,1973,1996,INTL DAIRY QUEEN,International Dairy Queen Inc,indq,indq
45954810,0.705882353,1988,1993,INTL GAMING MGMT INC,International Gaming Management Inc,ingama,ingama
45969810,0.808510638,1993,1998,INTL INTEGRATION INC,INTERNATIONAL INTEGRATION INC,intitg,intitg
45982420,0.6875,1981,2013,INTL LOTTERY & TOTALIZATOR,International Lottery & Totalizator Systems Inc,itsi,itsi
45985A10,0.793650794,1992,1997,INTL MANUFACTURING SVCS INC,International Manufacturing Services Inc,iamnu,iamnu
46005310,0.612244898,1992,1999,INTERNATIONAL NETWORK SVCS,BT International Network Services Inc,inetsv,
46005L10,0.945454545,2016,2018,INTERNATIONAL MONEY EXPR INC,International Money Express Inc.,zjenbv,zjenbv
46037710,0.682926829,2002,2004,INTERNATIONAL STEEL GRP INC,Weirton Steel Corp,westel,
46049910,0.928571429,1996,2001,INTERNATIONAL TOTAL SVCS INC,International Total Services Inc,intota,intota
46057T40,0.52173913,1989,1999,INTERNET COMMUNICATNS,American Council on Education,amcoed,
46089210,0.913043478,1984,1998,INTERSTATE/JOHNSON LANE INC,INTERSTATE JOHNSON LANE,insec,insec
46090K10,0.943396226,2012,2016,INTRAWEST RESORTS HLDGS INC,Intrawest Resorts Holdings Inc.,iprop,iprop
46191510,0.888888889,1995,2006,INVESTORS FINANCIAL SVCS CP,Investors Financial Services Corp,srvinv,srvinv
47233W10,0.488888889,1950,2018,JEFFERIES FINANCIAL GRP INC,Leucadia National Corp,leuc,
48068610,0.93877551,1990,2002,JORDAN AMERICAN HLDGS INC,Jordan American Holdings Inc,cripur,cripur
48222710,0.952380952,1985,1999,JWGENESIS FINANCIAL CP,JWGENESIS FINANCIAL CORP,corman,corman
49080710,0.833333333,1991,1999,KENTEK INFORMATION SYS INC,Kentek Information Systems,kentk,kentk
49561110,0.85,1994,2002,KING POWER INTL GROUP LTD,King Power Group Company Ltd,immnam,immnam
50540R40,0.754098361,1988,2018,LABORATORY CP OF AMER HLDGS,Laboratory Corporation of America Holdings,nhlabs,nhlabs
51490010,0.692307692,1984,1991,LANDMARK SAVINGS ASSOC-PA,Landmark Pennsylvania Savings Ass,lnsa,lnsa
51948510,0.923076923,2001,2010,LAW ENFORCEMENT ASSOCS CORP,Law Enforcement Associates Corp,acadre,acadre
52748210,0.816326531,1967,1999,LEVITZ FURNITURE INC  -VTG,Levitz Furniture Incorporated,levifi,levifi
52893210,0.857142857,1994,1999,LEXINGTON GLOBAL ASSET MGRS,"Lexington Global Asset Managers, Inc",lexglb,lexglb
53012L10,0.943396226,2009,2015,LIBERATOR MEDICAL HLDGS INC,Liberator Medical Holdings Inc,cdfcom,cdfcom
53115L10,0.8,2015,2018,LIBERTY OILFIELD SVS,Liberty Oilfield Services Inc,lolfls,lolfls
53245710,0.608695652,1950,2018,LILLY (ELI) & CO,Eli Lilly and Co,lilye,lilye
53249110,0.8125,1974,1999,LILLY INDS INC,LILLY INDUSTRIES INC,licia,licia
53358010,0.867924528,1984,1993,LINCOLN FOOD SERVICE PRODS,Lincoln Foodservice Products Inc,lfpi,lfpi
53390010,0.829268293,1974,2018,LINCOLN ELECTRIC HLDGS INC,The Lincoln Electric Company,linel,linel
53521910,0.333333333,2011,2018,LINDBLAD EXPEDITIONS HLDGS,Capitol Acquisition Corp. II,capqii,
54335410,0.8,2007,2012,LONGWEI PETROLEUM INVT HLDG,Longwei Petroleum Investment Holding Ltd,lopihl,lopihl
54418310,0.84,1990,1999,LORONIX INFORMATION SYS INC,LORONIX INFORMATION SYSTEMS (CO),loron,loron
55608B10,0.961538462,2003,2018,MACQUARIE INFRASTRUCTURE CP,Macquarie Infrastructure Corp.,macotr,macotr
55910K10,0.904761905,2016,2018,MAGENTA THRPUTCS INC,Magenta Therapeutics Inc,ylwdsj,ylwdsj
56062Y10,0.901960784,1990,2017,MAINSOURCE FINL GROUP INC,MainSource Financial Group Inc,iub,iub
57143110,0.85106383,1982,1996,MARQUEST MEDICAL PRODS INC,MARQUEST MEDICAL PRODUCTS,marqp,marqp
57276210,0.958333333,1994,1997,MARSHALLTOWN FINANCIAL CP,MARSHALLTOWN FINANCIAL CORP,mstown,mstown
57946810,0.368421053,1984,1993,MCCAW CELLULAR COMM,MCI Communications Corp,mcicom,
58319P10,0.884615385,1994,2014,MEADOWBROOK INS GROUP INC,"Meadowbrook Insurance Group, Inc.",mdnsr,mdnsr
58392110,0.857142857,1992,1999,MED / WASTE INC,Waste Inc,wsteus,
58402010,0.8,1966,1995,MEDALIST INDS,MEDALIST INDUSTRIES,mdi,mdi
58439W10,0.431372549,2005,2007,MEDIA & ENTERTAINMENT HLDGS,MacAndrews & Forbes Holdings Inc,mcandf,
58964410,0.869565217,1987,2000,MERIDIAN INS GROUP INC,MERIDIAN INSURANCE GROUP INC,migrp,migrp
59162P10,0.923076923,1991,2000,METRO INFORMATION SVCS INC,Metro Information Services Inc,merinf,merinf
59169510,0.85,1960,2004,METROMEDIA INTERNATIONAL GRP,Metromedia International Group Inc,mmedia,mmedia
59290710,0.6875,1962,1998,MEYER (FRED) INC,Fred Meyer Stores Inc.,meyf,meyf
59515B10,0.941176471,1993,2006,MICROTEK MEDICAL HLDGS INC,Microtek Medical Holdings Inc,isolys,isolys
59523F10,0.92,1987,1995,MID-AMERICAN WASTE SYS INC,Mid American Waste Systems Inc,midaw,midaw
59832F10,0.897959184,1992,1996,MIDWEST FEDERAL FINL CORP,Midwest Federal Financial Corp,mdwst,mdwst
60179510,0.96,1994,1999,MILTON FEDERAL FINANCIAL CP,MILTON FEDERAL FINANCIAL CORP,miltff,miltff
60891010,0.325581395,1991,1997,MONEYGRAM PAYMENT SYS INC,First Data Corporation,fdatc,
60907Q10,0.943396226,2005,2015,MONARCH FINANCIAL HLDGS INC,Monarch Financial Holdings Inc,monb,monb
61635010,0.666666667,1970,1991,MOR-FLO INDS,Mor-flo Industries Inc,morf,morf
61845910,0.821428571,1990,1999,MORRISON MGMT SPECIALISTS,Morrison Management Specialists Inc.,mrrsnh,mrrsnh
61932810,0.958333333,1985,2005,MORTON INDUSTRIAL GRP INC,Morton Industrial Group Inc,mclths,mclths
62009710,0.943396226,2005,2011,MOTOROLA MOBILITY HLDGS INC,Motorola Mobility Holdings Inc.,mrolho,mrolho
62424610,0.96,1993,1995,MOUNTAIN PARKS FINANCIAL CP,MOUNTAIN PARKS FINANCIAL CORP,mpfc,mpfc
63370710,0.933333333,2010,2018,NATIONAL BANK HLDGS CORP,National Bank Holdings Corp.,natbhc,natbhc
63622030,0.847457627,2011,2018,NATIONAL GENERAL HOLDINGS CP,National General Holdings Corporation,gmaci,gmaci
63715210,0.780487805,1991,1996,NATL PICTURE & FRAME,National Picture and Frame Co,ntnlpf,ntnlpf
63845R10,0.93877551,2012,2018,NATIONAL VISION HLDGS INC,National Vision Holdings Inc,ntvsas,ntvsas
63859510,0.925925926,1985,1994,NATIONWIDE CELLULAR SVC INC,NATIONWIDE CELLULAR SERVICE INC,nwcs,nwcs
63902710,0.941176471,1978,2018,NATURES SUNSHINE PRODS INC,"Nature's Sunshine Products, Inc",nasp,nasp
64115010,0.75,1995,1999,NETTER DIGITAL ENTMT INC,Netter Digital Entertainment,nttdig,nttdig
64120S10,0.96,1995,2001,NETWORK ACCESS SOLUTIONS CP,Network Access Solutions Corp,netacc,netacc
64938P10,0.92,1991,1998,NEW YORK BAGEL ENTRPRS INC,New York Bagel Enterprises Inc,baglny,baglny
64944510,0.92,1993,2018,NEW YORK CMNTY BANCORP INC,New York Community Bancorp Inc,qcsbus,qcsbus
65252620,0.96,1975,2018,NEWTEK BUSINESS SERVICES CP,Newtek Business Services Inc,bmsc,bmsc
65542W20,0.96,2003,2015,NORANDA ALUMINUM HOLDING CP,Noranda Aluminum Holding Corp.,nrndai,nrndai
65703710,0.87804878,1990,1996,NORTH AMERICAN MTG CO,NORTH AMERICAN MORTGAGE COMPANY,imre,imre
66575110,0.961538462,1991,2017,NORTHERN STATES FINANCIAL CP,Northern States Financial Corp,nsfin,nsfin
66690310,0.92,1992,1999,NORTHSTAR HEALTH SVCS INC,NORTHSTAR HEALTH SERVICES INC,nrths,nrths
66972910,0.867924528,1988,1997,NORWOOD PROMOTIONAL PRODS,Norwood Promotional Products Inc,norwod,norwod
